Month	PredictedSale
2018-01-01	58695.481042129180
2018-02-01	42990.162298409850
2018-03-01	42303.571834887145
2018-04-01	43149.690557645650
2018-05-01	44571.008295334650
2018-06-01	65354.750608591640
2018-07-01	52561.961364629780
2018-08-01	66426.407826245600
2018-09-01	55278.174882107690
2018-10-01	56524.719330792590
2018-11-01	72770.074152780060
2018-12-01	107074.16263414444
2019-01-01	73291.053408624230
2019-02-01	66426.756555617830
2019-03-01	42303.571834887145
2019-04-01	43149.690557645650
2019-05-01	44571.008295334650
2019-06-01	65354.750608591640
2019-07-01	52561.961364629780
2019-08-01	66426.407826245600
2019-09-01	55278.174882107690
2019-10-01	56524.719330792590
2019-11-01	73448.074152780060
2019-12-01	107074.16263414444
2020-01-01	73291.053408624230
2020-02-01	66426.756555617830
