month,Actual,Predict
1,61170.19000000001,53000.0
2,52268.42,53000.0
3,57830.05999999999,57000.0
4,59831.12999999999,49000.0
5,60822.96000000001,53000.0
6,64531.18,49000.0
7,58268.37,53000.0
8,58064.55999999999,57000.0
9,46080.55,49000.0
10,60589.88999999999,49000.0
11,43405.84000000001,45000.0
12,47893.29,49000.0
13,39848.51999999998,53000.0
14,42767.74000000001,53000.0
15,44343.57000000001,49000.0
16,53218.76999999998,53000.0
17,52266.28999999999,57000.0
