Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-01	47067.979999999996	8.87088133576783	2	0	0.0
2016-10-01	78619.79999999999	8.326448629887645	2	0	0.0
2016-11-01	80097.3698	23.775033785282666	3	2	0.0
2016-12-01	90872.64990000002	32.79107726982768	1	14	0.0
2016-02-01	40507.57	5.2877010365460215	2	0	0.0
2016-03-01	67766.34	5.5845373303857	2	0	0.0
2016-04-01	56345.95	9.2799541908501	1	0	0.0
2016-05-01	53360.960000000014	7.594863213139643	2	0	0.0
2016-06-01	35768.170000000006	10.532471142996183	1	0	0.0
2016-07-01	55295.07000000001	10.253352828797983	1	0	0.0
2016-08-01	55151.2	5.141500109609425	0	0	0.0
2016-09-01	51015.05	9.262962564623725	1	0	0.0
2017-01-01	54344.33	23.540120195553857	2	0	0.0
2017-10-01	70860.82	32.67456411584784	2	0	0.0
2017-11-01	60280.35	36.17351265871081	2	2	0.0
2017-12-01	74400.14	36.98054794716516	0	14	0.0
2017-02-01	53233.560000000005	26.616038761014998	2	0	0.0
2017-03-01	80533.47	26.190959682254064	1	0	0.0
2017-04-01	71669.45999999999	25.6473638920775	2	0	0.0
2017-05-01	75467.93999999999	24.137711506219844	3	0	0.0
2017-06-01	50663.82999999999	30.518741761055956	1	0	0.0
2017-07-01	59294.20999999999	30.825208494970337	1	0	0.0
2017-08-01	52612.81	27.842583573912744	0	0	0.0
2017-09-01	70108.04	28.165760867668535	1	0	0.0
2018-01-01	61170.19000000001	30.85005445477392	2	0	0.0
2018-10-01	52268.42	33.50594877725761	2	0	0.0
2018-11-01	57830.05999999999	38.64590302518175	3	2	0.0
2018-12-01	59831.12999999999	44.471014739711826	1	14	0.0
2018-02-01	60822.96000000001	27.09545799298718	2	0	0.0
2018-03-01	64531.18	26.819950115611583	1	0	0.0
2018-04-01	58268.369999999995	26.667377911477445	2	0	0.0
2018-05-01	58064.55999999999	27.434317373644006	3	0	0.0
2018-06-01	46080.549999999996	32.24022622410881	1	0	0.0
2018-07-01	60589.88999999999	30.519729837070145	1	0	0.0
2018-08-01	43405.84000000001	36.58596474205387	0	0	0.0
2018-09-01	47893.29	32.03386508971836	1	0	0.0
2019-01-01	39848.51999999999	40.83534178806187	2	0	0.0
2019-02-01	42767.740000000005	37.86627861889172	2	0	0.0
2019-03-01	44343.57000000001	31.95866670461794	1	0	0.0
2019-04-01	53218.76999999998	34.879068033758976	2	0	0.0
2019-05-01	52266.289999999986	35.42346721032237	3	0	0.0
