month,Actual,Predict
1,1957653.45,1815676.0
2,2150319.91,2146825.0
3,3660196.85,3381702.4318970433
4,5151397.049999999,5252226.63097747
5,1748174.525,1851459.5
6,1771602.6999999997,1887243.0
7,1890279.67,1924239.5
8,1923467.55,1961236.0
9,1613084.2399000004,1998232.5
10,1919806.29,2035229.0
11,2224171.81,2072832.0
12,1997517.0700000003,2109828.5
13,2851518.900000001,2258421.0
14,2328339.51,2294204.5
15,2065357.6999,2329988.0
16,2641910.7,2366984.5
17,2864571.38,2403981.0
