Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-01	105409.31000000001	8.87088133576783	2	0	0.0
2016-10-01	101324.36	8.326448629887643	2	0	0.0
2016-11-01	218034.27	23.77503378528267	3	2	0.0
2016-12-01	650834.36	32.79107726982768	1	14	0.0
2016-02-01	134773.26	5.2877010365460215	2	0	0.0
2016-03-01	132377.12	5.5845373303857	2	0	0.0
2016-04-01	142991.40999999997	9.2799541908501	1	0	0.0
2016-05-01	220988.39999999997	8.001362035120259	3	0	0.0
2016-06-01	257414.7	10.53247114299618	1	0	0.0
2016-07-01	198878.1	10.253352828797983	1	0	0.0
2016-08-01	125791.94	5.141500109609425	0	0	0.0
2016-09-01	121182.90999999999	9.262962564623725	1	0	0.0
2017-01-01	122022.9	23.618417587818467	2	0	0.0
2017-10-01	76439.09000000001	32.674564115847836	2	0	0.0
2017-11-01	220831.36999999997	36.28701816291714	3	2	0.0
2017-12-01	522688.90000000014	36.79270403137347	1	14	0.0
2017-02-01	188192.49999999994	26.616038761015005	2	0	0.0
2017-03-01	164561.6	26.190959682254064	1	0	0.0
2017-04-01	128644.76	25.647363892077504	2	0	0.0
2017-05-01	199937.15	24.137711506219834	3	0	0.0
2017-06-01	158407.04	30.518741761055956	1	0	0.0
2017-07-01	110000.29999999999	30.825208494970337	1	0	0.0
2017-08-01	129985.49999999999	27.842583573912737	0	0	0.0
2017-09-01	95656.17	28.16576086766854	1	0	0.0
2018-01-01	150320.88000000003	30.85005445477392	2	0	0.0
2018-10-01	128328.62000000002	33.50594877725761	2	0	0.0
2018-11-01	245453.58000000002	38.64590302518175	3	2	0.0
2018-12-01	661387.1100000001	44.47101473971181	1	14	0.0
2018-02-01	128738.42	27.09545799298718	2	0	0.0
2018-03-01	242530.46999999997	26.81995011561158	1	0	0.0
2018-04-01	194822.51	26.66737791147744	2	0	0.0
2018-05-01	177511.22	27.434317373644014	3	0	0.0
2018-06-01	304940.01999999996	32.240226224108795	1	0	0.0
2018-07-01	169806.25	30.519729837070148	1	0	0.0
2018-08-01	238352.53000000006	36.585964742053875	0	0	0.0
2018-09-01	208996.59	32.03386508971837	1	0	0.0
2019-01-01	202269.45000000004	40.83534178806187	2	0	0.0
2019-02-01	151644.50000000003	37.924774371431	2	0	0.0
2019-03-01	153815.01	31.95866670461795	1	0	0.0
2019-04-01	162016.82000000004	34.87906803375899	2	0	0.0
2019-05-01	191985.90999999997	35.42346721032237	3	0	0.0
