Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-01	3520133.3200000003	8.87088133576783	2	0	0.0
2016-10-01	3320940.6199999996	8.326448629887645	2	0	0.0
2016-11-01	7187232.89	23.775033785282673	3	2	0.0
2016-12-01	13590570.179999998	32.79107726982768	1	14	0.0
2016-02-01	3221675.54	5.2877010365460215	2	0	0.0
2016-03-01	2786340.5399999996	5.5845373303857	2	0	0.0
2016-04-01	3329600.22	9.2799541908501	1	0	0.0
2016-05-01	4312072.37	8.001362035120259	3	0	0.0
2016-06-01	2936989.05	10.532471142996183	1	0	0.0
2016-07-01	3648884.5499999993	10.253352828797983	1	0	0.0
2016-08-01	3576464.2900000005	5.141500109609425	0	0	0.0
2016-09-01	4374247.080000001	9.262962564623725	1	0	0.0
2017-01-01	3508379.5799999996	23.618417587818463	2	0	0.0
2017-10-01	4250917.279999998	32.67456411584784	2	0	0.0
2017-11-01	8386673.240000001	36.28701816291713	3	2	0.0
2017-12-01	15076584.609999996	36.79270403137347	1	14	0.0
2017-02-01	3507707.15	26.616038761015	2	0	0.0
2017-03-01	3976516.0300000003	26.190959682254068	1	0	0.0
2017-04-01	3571697.6200000006	25.647363892077497	2	0	0.0
2017-05-01	4559136.93	24.137711506219837	3	0	0.0
2017-06-01	3956323.21	30.518741761055942	1	0	0.0
2017-07-01	2827836.0500000003	30.825208494970337	1	0	0.0
2017-08-01	3534248.9799999995	27.84258357391274	0	0	0.0
2017-09-01	3800125.279999999	28.165760867668535	1	0	0.0
2018-01-01	4455244.829999999	30.850054454773918	2	0	0.0
2018-10-01	3900005.1399999997	33.50594877725761	2	0	0.0
2018-11-01	9334103.979999999	38.64590302518175	3	2	0.0
2018-12-01	15214922.499999998	44.47101473971182	1	14	0.0
2018-02-01	3625390.190000001	27.095457992987182	2	0	0.0
2018-03-01	4556126.81	26.81995011561158	1	0	0.0
2018-04-01	4368295.51	26.667377911477434	2	0	0.0
2018-05-01	4854245.76	27.43431737364401	3	0	0.0
2018-06-01	4704428.550000001	32.2402262241088	1	0	0.0
2018-07-01	3460270.320000001	30.51972983707015	1	0	0.0
2018-08-01	4828176.29	36.585964742053875	0	0	0.0
2018-09-01	3653899.2499999995	32.03386508971836	1	0	0.0
2019-01-01	4738154.23	40.83534178806187	2	0	0.0
2019-02-01	4663494.54	37.924774371431006	2	0	0.0
2019-03-01	5190738.040000001	31.958666704617947	1	0	0.0
2019-04-01	5054033.22	34.879068033759	2	0	0.0
2019-05-01	4765826.88	35.42346721032237	3	0	0.0
